tick,q_eff,tau,loc,coupled,m,step,phase
101,-1/2,-1,outer,0,3,1,2
102,-1/2,-1,middle,0,3,1,1
103,-1/2,-1,outer,1,2,1,0
104,-1/2,-1,outer,0,3,1,2
105,-1/2,0,,0,1,0,2
106,-1/2,-1,middle,1,2,1,1
107,-1/2,0,,0,1,0,1
108,-1/2,1,middle,1,2,-1,2
109,-1/2,0,,0,1,0,2
110,-1/2,-1,outer,0,3,1,1
111,-1/2,-1,outer,0,3,1,0
112,-1/2,-1,outer,1,2,1,2
113,-1/2,0,,0,1,0,2
114,-1/2,0,,0,1,0,2
115,-1/2,1,middle,1,2,1,0
116,-1/2,-1,outer,0,3,1,2
117,-1/2,-1,middle,1,2,1,1
118,-1/2,-1,outer,1,2,1,0
119,-1/2,1,outer,0,3,1,1
120,-1/2,1,outer,0,3,1,2
121,-1/2,-1,outer,1,2,1,1
122,-1/2,0,,0,1,0,1
123,-1/2,-1,outer,0,3,1,0
124,-1/2,0,,0,1,0,0
125,-1/2,-1,middle,1,2,-1,2
126,-1/2,-1,outer,0,3,1,1
127,-1/2,-1,outer,0,3,1,0
128,-1/2,-1,outer,0,3,1,2
129,-1/2,1,outer,1,2,1,0
130,-1/2,-1,outer,1,2,1,2
131,-1/2,-1,outer,1,2,1,1
132,-1/2,0,,0,1,0,1
133,-1/2,1,outer,1,2,1,2
134,-1/2,-1,outer,0,3,1,1
135,-1/2,-1,outer,0,3,1,0
136,-1/2,0,,0,1,0,0
137,-1/2,0,,0,1,0,0
138,-1/2,-1,middle,0,3,1,2
139,-1/2,0,,0,1,0,2
140,-1/2,-1,middle,1,2,1,1
141,-1/2,-1,outer,0,3,1,0
142,-1/2,0,,0,1,0,0
143,-1/2,-1,outer,0,3,1,2
144,-1/2,1,outer,1,2,1,0
145,-1/2,0,,0,1,0,0
146,-1/2,-1,middle,0,3,1,2
147,-1/2,-1,middle,0,3,1,1
148,-1/2,-1,outer,0,3,1,0
149,-1/2,-1,outer,0,3,1,2
150,-1/2,-1,middle,1,2,-1,1
151,-1/2,0,,0,1,0,1
152,-1/2,1,outer,0,3,1,2
153,-1/2,-1,middle,1,2,1,1
154,-1/2,-1,middle,0,3,1,0
155,-1/2,-1,middle,1,2,1,2
156,-1/2,-1,middle,1,2,1,1
157,-1/2,-1,middle,1,2,1,0
158,-1/2,1,outer,0,3,1,1
159,-1/2,-1,outer,1,2,1,0
160,-1/2,-1,outer,1,2,1,2
161,-1/2,0,,0,1,0,2
162,-1/2,1,outer,1,2,1,0
163,-1/2,-1,middle,0,3,1,2
164,-1/2,-1,outer,0,3,1,1
165,-1/2,-1,outer,1,2,1,0
166,-1/2,0,,0,1,0,0
167,-1/2,0,,0,1,0,0
168,-1/2,1,middle,1,2,1,1
169,-1/2,1,outer,0,3,1,2
170,-1/2,-1,outer,1,2,1,1
171,-1/2,-1,outer,1,2,1,0
172,-1/2,-1,middle,0,3,1,2
173,-1/2,0,,0,1,0,2
174,-1/2,-1,middle,0,3,1,1
175,-1/2,0,,0,1,0,1
176,-1/2,-1,outer,1,2,1,0
177,-1/2,-1,middle,1,2,1,2
178,-1/2,0,,0,1,0,2
179,-1/2,1,outer,1,2,1,0
180,-1/2,-1,outer,0,3,1,2
181,-1/2,0,,0,1,0,2
182,-1/2,-1,middle,1,2,1,1
183,-1/2,-1,outer,0,3,1,0
184,-1/2,-1,outer,0,3,1,2
185,-1/2,0,,0,1,0,2
186,-1/2,1,outer,0,3,1,0
187,-1/2,-1,outer,1,2,1,2
188,-1/2,1,middle,1,2,1,0
189,-1/2,-1,middle,1,2,1,2
190,-1/2,-1,middle,1,2,1,1
191,-1/2,-1,middle,1,2,1,0
192,-1/2,1,middle,1,2,1,1
193,-1/2,-1,middle,0,3,1,0
194,-1/2,-1,outer,0,3,1,2
195,-1/2,-1,outer,0,3,1,1
196,-1/2,-1,middle,1,2,1,0
197,-1/2,1,middle,0,3,1,1
198,-1/2,-1,middle,0,3,1,0
199,-1/2,1,middle,0,3,1,1
200,-1/2,-1,outer,1,2,1,0
201,-1/2,0,,0,1,0,0
202,-1/2,0,,0,1,0,0
203,-1/2,-1,middle,1,2,1,2
204,-1/2,-1,outer,1,2,1,1
205,-1/2,-1,outer,1,2,1,0
206,-1/2,-1,outer,1,2,1,2
207,-1/2,-1,outer,0,3,1,1
208,-1/2,-1,middle,1,2,1,0
209,-1/2,-1,outer,1,2,1,2
210,-1/2,-1,middle,0,3,1,1
211,-1/2,1,outer,0,3,1,2
212,-1/2,-1,outer,0,3,1,1
213,-1/2,-1,outer,1,2,1,0
214,-1/2,-1,outer,0,3,1,2
215,-1/2,0,,0,1,0,2
216,-1/2,0,,0,1,0,2
217,-1/2,-1,outer,0,3,1,1
218,-1/2,-1,outer,0,3,1,0
219,-1/2,-1,outer,0,3,1,2
220,-1/2,-1,middle,1,2,-1,1
221,-1/2,-1,middle,1,2,1,0
222,-1/2,0,,0,1,0,0
223,-1/2,0,,0,1,0,0
224,-1/2,-1,middle,0,3,1,2
225,-1/2,-1,middle,1,2,1,1
226,-1/2,-1,outer,1,2,1,0
227,-1/2,-1,middle,0,3,1,2
228,-1/2,0,,0,1,0,2
229,-1/2,-1,outer,0,3,1,1
230,-1/2,-1,middle,0,3,1,0
231,-1/2,-1,middle,1,2,1,2
232,-1/2,-1,outer,1,2,1,1
233,-1/2,1,outer,0,3,1,2
234,-1/2,-1,middle,0,3,1,1
235,-1/2,1,middle,1,2,-1,2
236,-1/2,-1,middle,1,2,1,1
237,-1/2,-1,outer,1,2,1,0
238,-1/2,1,middle,0,3,1,1
239,-1/2,-1,outer,1,2,1,0
240,-1/2,-1,middle,1,2,1,2
241,-1/2,1,outer,0,3,1,0
242,-1/2,0,,0,1,0,0
243,-1/2,-1,middle,1,2,1,2
244,-1/2,1,outer,1,2,1,0
245,-1/2,-1,outer,0,3,1,2
246,-1/2,0,,0,1,0,2
247,-1/2,1,outer,0,3,1,0
248,-1/2,-1,middle,1,2,1,2
249,-1/2,-1,middle,0,3,1,1
250,-1/2,1,middle,1,2,1,2
251,-1/2,1,outer,1,2,1,0
252,-1/2,-1,middle,1,2,1,2
253,-1/2,-1,outer,0,3,1,1
254,-1/2,-1,middle,1,2,1,0
255,-1/2,-1,outer,1,2,1,2
256,-1/2,-1,middle,0,3,1,1
257,-1/2,-1,middle,0,3,1,0
258,-1/2,1,outer,0,3,1,1
259,-1/2,1,middle,1,2,1,2
260,-1/2,1,middle,0,3,1,0
261,-1/2,-1,middle,0,3,1,2
262,-1/2,-1,middle,0,3,1,1
263,-1/2,-1,middle,0,3,1,0
264,-1/2,-1,middle,1,2,-1,2
265,-1/2,-1,middle,0,3,1,1
266,-1/2,-1,middle,0,3,1,0
267,-1/2,-1,outer,0,3,1,2
268,-1/2,-1,outer,1,2,1,1
269,-1/2,0,,0,1,0,1
270,-1/2,0,,0,1,0,1
271,-1/2,-1,outer,1,2,1,0
272,-1/2,0,,0,1,0,0
273,-1/2,1,outer,1,2,1,1
274,-1/2,-1,outer,0,3,1,0
275,-1/2,-1,middle,0,3,1,2
276,-1/2,-1,middle,0,3,1,1
277,-1/2,-1,outer,1,2,1,0
278,-1/2,0,,0,1,0,0
279,-1/2,-1,outer,1,2,1,2
280,-1/2,1,outer,0,3,1,0
281,-1/2,-1,middle,1,2,1,2
282,-1/2,-1,outer,0,3,1,1
283,-1/2,-1,middle,1,2,1,0
284,-1/2,-1,outer,1,2,1,2
285,-1/2,1,outer,0,3,1,0
286,-1/2,-1,middle,1,2,1,2
287,-1/2,0,,0,1,0,2
288,-1/2,-1,middle,1,2,-1,1
289,-1/2,-1,outer,0,3,1,0
290,-1/2,0,,0,1,0,0
291,-1/2,-1,middle,1,2,1,2
292,-1/2,1,outer,1,2,1,0
293,-1/2,-1,outer,1,2,1,2
294,-1/2,0,,0,1,0,2
295,-1/2,1,outer,0,3,1,0
296,-1/2,-1,outer,1,2,1,2
297,-1/2,0,,0,1,0,2
298,-1/2,-1,outer,0,3,1,1
299,-1/2,1,outer,1,2,1,2
300,-1/2,-1,outer,1,2,1,1
301,-1/2,-1,middle,1,2,1,0
302,-1/2,1,middle,1,2,1,1
303,-1/2,-1,middle,1,2,-1,0
304,-1/2,-1,outer,0,3,1,2
305,-1/2,0,,0,1,0,2
306,-1/2,0,,0,1,0,2
307,-1/2,0,,0,1,0,2
308,-1/2,-1,middle,1,2,1,1
309,-1/2,-1,middle,1,2,1,0
310,-1/2,1,middle,0,3,1,1
311,-1/2,0,,0,1,0,1
312,-1/2,-1,middle,1,2,-1,0
313,-1/2,-1,outer,0,3,1,2
314,-1/2,-1,outer,1,2,1,1
315,-1/2,-1,middle,1,2,1,0
316,-1/2,0,,0,1,0,0
317,-1/2,-1,outer,1,2,1,2
318,-1/2,1,middle,1,2,-1,0
319,-1/2,1,middle,0,3,1,1
320,-1/2,-1,middle,1,2,1,0
321,-1/2,-1,outer,1,2,1,2
322,-1/2,-1,middle,0,3,1,1
323,-1/2,1,middle,1,2,1,2
324,-1/2,1,middle,1,2,1,0
325,-1/2,0,,0,1,0,0
326,-1/2,-1,middle,1,2,1,2
327,-1/2,1,middle,0,3,1,0
328,-1/2,1,outer,1,2,1,1
329,-1/2,1,outer,1,2,1,2
330,-1/2,-1,outer,1,2,1,1
331,-1/2,0,,0,1,0,1
332,-1/2,1,middle,1,2,-1,2
333,-1/2,0,,0,1,0,2
334,-1/2,1,middle,1,2,1,0
335,-1/2,-1,outer,1,2,1,2
336,-1/2,-1,middle,1,2,1,1
337,-1/2,-1,outer,1,2,1,0
338,-1/2,0,,0,1,0,0
339,-1/2,-1,middle,1,2,1,2
340,-1/2,-1,outer,0,3,1,1
341,-1/2,0,,0,1,0,1
342,-1/2,-1,middle,0,3,1,0
343,-1/2,-1,middle,1,2,-1,2
344,-1/2,-1,outer,0,3,1,1
345,-1/2,-1,outer,1,2,1,0
346,-1/2,0,,0,1,0,0
347,-1/2,-1,outer,0,3,1,2
348,-1/2,-1,middle,1,2,1,1
349,-1/2,-1,outer,1,2,1,0
350,-1/2,-1,middle,1,2,1,2
351,-1/2,-1,outer,1,2,1,1
352,-1/2,-1,outer,1,2,1,0
353,-1/2,1,middle,0,3,1,1
354,-1/2,-1,outer,0,3,1,0
355,-1/2,-1,middle,1,2,1,2
356,-1/2,-1,outer,1,2,1,1
357,-1/2,1,outer,1,2,1,2
358,-1/2,1,middle,0,3,1,0
359,-1/2,0,,0,1,0,0
360,-1/2,1,outer,1,2,1,1
361,-1/2,-1,outer,1,2,1,0
362,-1/2,0,,0,1,0,0
363,-1/2,-1,middle,0,3,1,2
364,-1/2,1,middle,0,3,1,0
365,-1/2,-1,middle,1,2,1,2
366,-1/2,-1,middle,1,2,1,1
367,-1/2,-1,outer,1,2,1,0
368,-1/2,0,,0,1,0,0
369,-1/2,-1,middle,0,3,1,2
370,-1/2,1,middle,0,3,1,0
371,-1/2,-1,middle,1,2,1,2
372,-1/2,0,,0,1,0,2
373,-1/2,-1,middle,0,3,1,1
374,-1/2,-1,outer,1,2,1,0
375,-1/2,-1,outer,0,3,1,2
376,-1/2,-1,middle,0,3,1,1
377,-1/2,0,,0,1,0,1
378,-1/2,-1,outer,0,3,1,0
379,-1/2,-1,middle,1,2,1,2
380,-1/2,-1,middle,1,2,1,1
381,-1/2,0,,0,1,0,1
382,-1/2,0,,0,1,0,1
383,-1/2,1,outer,1,2,1,2
384,-1/2,-1,outer,0,3,1,1
385,-1/2,-1,middle,0,3,1,0
386,-1/2,1,middle,1,2,1,1
387,-1/2,0,,0,1,0,1
388,-1/2,-1,outer,1,2,1,0
389,-1/2,0,,0,1,0,0
390,-1/2,-1,middle,1,2,-1,2
391,-1/2,-1,middle,0,3,1,1
392,-1/2,1,middle,1,2,-1,2
393,-1/2,-1,outer,0,3,1,1
394,-1/2,-1,outer,0,3,1,0
395,-1/2,1,outer,1,2,1,1
396,-1/2,-1,outer,0,3,1,0
397,-1/2,-1,outer,0,3,1,2
398,-1/2,-1,outer,1,2,1,1
399,-1/2,-1,outer,1,2,1,0
400,-1/2,-1,outer,0,3,1,2
401,-1/2,0,,0,1,0,2
402,-1/2,-1,middle,1,2,-1,1
403,-1/2,-1,middle,1,2,1,0
404,-1/2,-1,outer,0,3,1,2
405,-1/2,0,,0,1,0,2
406,-1/2,-1,outer,0,3,1,1
407,-1/2,-1,outer,1,2,1,0
408,-1/2,-1,middle,0,3,1,2
409,-1/2,1,outer,1,2,1,0
410,-1/2,0,,0,1,0,0
411,-1/2,-1,middle,1,2,-1,2
412,-1/2,-1,middle,1,2,-1,1
413,-1/2,-1,outer,0,3,1,0
414,-1/2,-1,middle,1,2,1,2
415,-1/2,-1,middle,1,2,1,1
416,-1/2,0,,0,1,0,1
417,-1/2,-1,outer,1,2,1,0
418,-1/2,0,,0,1,0,0
419,-1/2,1,outer,0,3,1,1
420,-1/2,0,,0,1,0,1
421,-1/2,-1,outer,1,2,1,0
422,-1/2,-1,outer,0,3,1,2
423,-1/2,0,,0,1,0,2
424,-1/2,-1,middle,0,3,1,1
425,-1/2,-1,outer,0,3,1,0
426,-1/2,1,middle,1,2,1,1
427,-1/2,0,,0,1,0,1
428,-1/2,1,middle,0,3,1,2
429,-1/2,-1,middle,1,2,-1,1
430,-1/2,-1,outer,1,2,1,0
431,-1/2,-1,outer,1,2,1,2
432,-1/2,0,,0,1,0,2
433,-1/2,0,,0,1,0,2
434,-1/2,0,,0,1,0,2
435,-1/2,0,,0,1,0,2
436,-1/2,-1,middle,0,3,1,1
437,-1/2,0,,0,1,0,1
438,-1/2,-1,outer,0,3,1,0
439,-1/2,0,,0,1,0,0
440,-1/2,-1,outer,1,2,1,2
441,-1/2,0,,0,1,0,2
442,-1/2,-1,middle,1,2,1,1
443,-1/2,1,middle,0,3,1,2
444,-1/2,-1,middle,1,2,1,1
445,-1/2,-1,outer,0,3,1,0
446,-1/2,1,outer,1,2,1,1
447,-1/2,-1,outer,0,3,1,0
448,-1/2,0,,0,1,0,0
449,-1/2,-1,outer,0,3,1,2
450,-1/2,1,outer,1,2,1,0
451,-1/2,-1,middle,1,2,-1,2
452,-1/2,1,middle,0,3,1,0
453,-1/2,1,outer,0,3,1,1
454,-1/2,-1,outer,0,3,1,0
455,-1/2,0,,0,1,0,0
456,-1/2,1,outer,1,2,1,1
457,-1/2,-1,outer,1,2,1,0
458,-1/2,-1,middle,1,2,1,2
459,-1/2,-1,outer,0,3,1,1
460,-1/2,1,middle,1,2,1,2
461,-1/2,-1,middle,0,3,1,1
462,-1/2,0,,0,1,0,1
463,-1/2,-1,outer,1,2,1,0
464,-1/2,-1,middle,0,3,1,2
465,-1/2,-1,middle,1,2,1,1
466,-1/2,0,,0,1,0,1
467,-1/2,-1,middle,1,2,-1,0
468,-1/2,-1,outer,0,3,1,2
469,-1/2,1,middle,0,3,1,0
470,-1/2,0,,0,1,0,0
471,-1/2,1,middle,0,3,1,1
472,-1/2,-1,outer,1,2,1,0
473,-1/2,0,,0,1,0,0
474,-1/2,0,,0,1,0,0
475,-1/2,0,,0,1,0,0
476,-1/2,-1,outer,1,2,1,2
477,-1/2,-1,outer,0,3,1,1
478,-1/2,-1,outer,0,3,1,0
479,-1/2,1,middle,0,3,1,1
480,-1/2,-1,middle,1,2,1,0
481,-1/2,1,middle,0,3,1,1
482,-1/2,-1,outer,1,2,1,0
483,-1/2,1,middle,0,3,1,1
484,-1/2,-1,middle,1,2,-1,0
485,-1/2,-1,outer,1,2,1,2
486,-1/2,-1,outer,1,2,1,1
487,-1/2,-1,outer,1,2,1,0
488,-1/2,1,middle,0,3,1,1
489,-1/2,-1,outer,1,2,1,0
490,-1/2,0,,0,1,0,0
491,-1/2,-1,middle,1,2,1,2
492,-1/2,-1,outer,1,2,1,1
493,-1/2,-1,middle,1,2,-1,0
494,-1/2,0,,0,1,0,0
495,-1/2,-1,middle,0,3,1,2
496,-1/2,-1,middle,0,3,1,1
497,-1/2,0,,0,1,0,1
498,-1/2,-1,outer,0,3,1,0
499,-1/2,1,middle,1,2,1,1
500,-1/2,-1,outer,1,2,1,0
501,-1/2,-1,middle,1,2,1,2
502,-1/2,-1,middle,0,3,1,1
503,-1/2,0,,0,1,0,1
504,-1/2,-1,middle,1,2,1,0
505,-1/2,1,middle,0,3,1,1
506,-1/2,-1,middle,0,3,1,0
507,-1/2,0,,0,1,0,0
508,-1/2,1,middle,0,3,1,1
509,-1/2,-1,outer,1,2,1,0
510,-1/2,0,,0,1,0,0
511,-1/2,-1,middle,1,2,-1,2
512,-1/2,0,,0,1,0,2
513,-1/2,1,middle,1,2,1,0
514,-1/2,0,,0,1,0,0
515,-1/2,1,outer,1,2,1,1
516,-1/2,0,,0,1,0,1
517,-1/2,0,,0,1,0,1
518,-1/2,-1,outer,0,3,1,0
519,-1/2,0,,0,1,0,0
520,-1/2,0,,0,1,0,0
521,-1/2,0,,0,1,0,0
522,-1/2,-1,middle,1,2,1,2
523,-1/2,1,outer,0,3,1,0
524,-1/2,-1,middle,0,3,1,2
525,-1/2,-1,outer,1,2,1,1
526,-1/2,1,middle,0,3,1,2
527,-1/2,0,,0,1,0,2
528,-1/2,1,middle,1,2,1,0
529,-1/2,-1,middle,0,3,1,2
530,-1/2,-1,outer,0,3,1,1
531,-1/2,-1,middle,1,2,1,0
532,-1/2,-1,outer,1,2,1,2
533,-1/2,-1,middle,1,2,1,1
534,-1/2,1,outer,1,2,1,2
535,-1/2,-1,outer,1,2,1,1
536,-1/2,-1,middle,0,3,1,0
537,-1/2,-1,outer,1,2,1,2
538,-1/2,-1,middle,1,2,1,1
539,-1/2,-1,outer,0,3,1,0
540,-1/2,-1,outer,0,3,1,2
541,-1/2,1,middle,1,2,1,0
542,-1/2,-1,middle,1,2,1,2
543,-1/2,-1,middle,0,3,1,1
544,-1/2,-1,middle,0,3,1,0
545,-1/2,-1,middle,0,3,1,2
546,-1/2,-1,middle,1,2,1,1
547,-1/2,-1,middle,0,3,1,0
548,-1/2,-1,middle,1,2,-1,2
549,-1/2,-1,middle,1,2,1,1
550,-1/2,0,,0,1,0,1
551,-1/2,-1,middle,0,3,1,0
552,-1/2,-1,outer,1,2,1,2
553,-1/2,-1,outer,0,3,1,1
554,-1/2,0,,0,1,0,1
555,-1/2,-1,outer,1,2,1,0
556,-1/2,-1,middle,0,3,1,2
557,-1/2,-1,middle,0,3,1,1
558,-1/2,1,middle,1,2,1,2
559,-1/2,-1,middle,1,2,1,1
560,-1/2,1,outer,0,3,1,2
561,-1/2,1,outer,0,3,1,0
562,-1/2,-1,middle,1,2,1,2
563,-1/2,1,middle,1,2,1,0
564,-1/2,1,middle,0,3,1,1
565,-1/2,0,,0,1,0,1
566,-1/2,-1,outer,0,3,1,0
567,-1/2,-1,middle,1,2,1,2
568,-1/2,-1,middle,1,2,1,1
569,-1/2,0,,0,1,0,1
570,-1/2,0,,0,1,0,1
571,-1/2,-1,middle,1,2,1,0
572,-1/2,-1,outer,1,2,1,2
573,-1/2,-1,outer,0,3,1,1
574,-1/2,0,,0,1,0,1
575,-1/2,-1,outer,1,2,1,0
576,-1/2,-1,middle,1,2,-1,2
577,-1/2,1,middle,1,2,1,0
578,-1/2,1,outer,1,2,1,1
579,-1/2,-1,outer,1,2,1,0
580,-1/2,-1,middle,0,3,1,2
581,-1/2,-1,middle,1,2,-1,1
582,-1/2,1,middle,0,3,1,2
583,-1/2,-1,outer,1,2,1,1
584,-1/2,1,middle,1,2,1,2
585,-1/2,-1,middle,0,3,1,1
586,-1/2,0,,0,1,0,1
587,-1/2,0,,0,1,0,1
588,-1/2,1,outer,0,3,1,2
589,-1/2,-1,outer,0,3,1,1
590,-1/2,-1,middle,1,2,1,0
591,-1/2,0,,0,1,0,0
592,-1/2,0,,0,1,0,0
593,-1/2,1,middle,1,2,-1,1
594,-1/2,-1,outer,0,3,1,0
595,-1/2,-1,outer,0,3,1,2
596,-1/2,-1,outer,0,3,1,1
597,-1/2,1,middle,1,2,1,2
598,-1/2,-1,middle,1,2,1,1
599,-1/2,-1,middle,0,3,1,0
600,-1/2,-1,outer,0,3,1,2
601,-1/2,0,,0,1,0,2
602,-1/2,-1,middle,0,3,1,1
603,-1/2,1,outer,0,3,1,2
604,-1/2,-1,middle,0,3,1,1
605,-1/2,-1,outer,0,3,1,0
606,-1/2,-1,outer,1,2,1,2
607,-1/2,0,,0,1,0,2
608,-1/2,-1,middle,0,3,1,1
609,-1/2,-1,outer,0,3,1,0
610,-1/2,0,,0,1,0,0
611,-1/2,0,,0,1,0,0
612,-1/2,0,,0,1,0,0
613,-1/2,-1,middle,1,2,1,2
614,-1/2,1,outer,0,3,1,0
615,-1/2,0,,0,1,0,0
616,-1/2,0,,0,1,0,0
617,-1/2,-1,outer,0,3,1,2
618,-1/2,0,,0,1,0,2
619,-1/2,-1,middle,0,3,1,1
620,-1/2,1,outer,1,2,1,2
621,-1/2,0,,0,1,0,2
622,-1/2,0,,0,1,0,2
623,-1/2,0,,0,1,0,2
624,-1/2,-1,middle,0,3,1,1
625,-1/2,-1,middle,1,2,-1,0
626,-1/2,-1,middle,1,2,1,2
627,-1/2,0,,0,1,0,2
628,-1/2,-1,outer,0,3,1,1
629,-1/2,0,,0,1,0,1
630,-1/2,1,outer,0,3,1,2
631,-1/2,-1,middle,0,3,1,1
632,-1/2,-1,outer,0,3,1,0
633,-1/2,-1,outer,1,2,1,2
634,-1/2,-1,outer,1,2,1,1
635,-1/2,-1,outer,1,2,1,0
636,-1/2,-1,middle,1,2,1,2
637,-1/2,-1,outer,1,2,1,1
638,-1/2,0,,0,1,0,1
639,-1/2,-1,outer,0,3,1,0
640,-1/2,1,middle,1,2,1,1
641,-1/2,1,outer,0,3,1,2
642,-1/2,1,outer,1,2,1,0
643,-1/2,1,outer,0,3,1,1
644,-1/2,-1,outer,0,3,1,0
645,-1/2,-1,middle,0,3,1,2
646,-1/2,1,middle,1,2,-1,0
647,-1/2,-1,outer,0,3,1,2
648,-1/2,0,,0,1,0,2
649,-1/2,-1,middle,0,3,1,1
650,-1/2,-1,outer,0,3,1,0
651,-1/2,-1,outer,0,3,1,2
652,-1/2,1,outer,1,2,1,0
653,-1/2,-1,outer,1,2,1,2
654,-1/2,1,outer,0,3,1,0
655,-1/2,-1,middle,1,2,-1,2
656,-1/2,1,outer,0,3,1,0
657,-1/2,0,,0,1,0,0
658,-1/2,-1,middle,1,2,1,2
659,-1/2,-1,middle,0,3,1,1
660,-1/2,0,,0,1,0,1
661,-1/2,-1,outer,1,2,1,0
662,-1/2,-1,middle,1,2,1,2
663,-1/2,-1,outer,1,2,1,1
664,-1/2,-1,middle,1,2,1,0
665,-1/2,-1,outer,1,2,1,2
666,-1/2,1,middle,0,3,1,0
667,-1/2,-1,outer,1,2,1,2
668,-1/2,-1,outer,1,2,1,1
669,-1/2,-1,outer,0,3,1,0
670,-1/2,0,,0,1,0,0
671,-1/2,-1,outer,0,3,1,2
672,-1/2,1,middle,1,2,1,0
673,-1/2,-1,middle,1,2,1,2
674,-1/2,-1,outer,1,2,1,1
675,-1/2,-1,middle,1,2,1,0
676,-1/2,0,,0,1,0,0
677,-1/2,-1,middle,1,2,1,2
678,-1/2,1,outer,0,3,1,0
679,-1/2,-1,middle,1,2,-1,2
680,-1/2,0,,0,1,0,2
681,-1/2,-1,outer,1,2,1,1
682,-1/2,1,outer,1,2,1,2
683,-1/2,0,,0,1,0,2
684,-1/2,0,,0,1,0,2
685,-1/2,0,,0,1,0,2
686,-1/2,1,middle,0,3,1,0
687,-1/2,-1,outer,1,2,1,2
688,-1/2,0,,0,1,0,2
689,-1/2,-1,middle,1,2,1,1
690,-1/2,-1,middle,0,3,1,0
691,-1/2,-1,middle,1,2,1,2
692,-1/2,-1,middle,1,2,-1,1
693,-1/2,-1,outer,1,2,1,0
694,-1/2,1,outer,1,2,1,1
695,-1/2,-1,outer,1,2,1,0
696,-1/2,1,outer,1,2,1,1
697,-1/2,1,middle,1,2,1,2
698,-1/2,-1,middle,1,2,1,1
699,-1/2,-1,middle,0,3,1,0
700,-1/2,-1,middle,1,2,1,2
701,-1/2,-1,outer,1,2,1,1
702,-1/2,1,outer,1,2,1,2
703,-1/2,-1,middle,1,2,1,1
704,-1/2,-1,outer,1,2,1,0
705,-1/2,1,outer,1,2,1,1
706,-1/2,-1,middle,0,3,1,0
707,-1/2,0,,0,1,0,0
708,-1/2,1,outer,0,3,1,1
709,-1/2,-1,outer,1,2,1,0
710,-1/2,-1,middle,0,3,1,2
711,-1/2,-1,middle,1,2,1,1
712,-1/2,0,,0,1,0,1
713,-1/2,-1,outer,0,3,1,0
714,-1/2,0,,0,1,0,0
715,-1/2,0,,0,1,0,0
716,-1/2,-1,middle,1,2,1,2
717,-1/2,-1,outer,0,3,1,1
718,-1/2,-1,outer,1,2,1,0
719,-1/2,0,,0,1,0,0
720,-1/2,-1,middle,1,2,1,2
721,-1/2,1,outer,0,3,1,0
722,-1/2,-1,middle,1,2,1,2
723,-1/2,1,outer,0,3,1,0
724,-1/2,-1,middle,1,2,1,2
725,-1/2,1,middle,0,3,1,0
726,-1/2,1,outer,1,2,1,1
727,-1/2,-1,middle,1,2,-1,0
728,-1/2,1,middle,1,2,1,1
729,-1/2,-1,outer,0,3,1,0
730,-1/2,1,outer,0,3,1,1
731,-1/2,-1,middle,1,2,-1,0
732,-1/2,-1,middle,1,2,1,2
733,-1/2,-1,middle,1,2,1,1
734,-1/2,0,,0,1,0,1
735,-1/2,1,outer,0,3,1,2
736,-1/2,0,,0,1,0,2
737,-1/2,-1,outer,0,3,1,1
738,-1/2,-1,outer,0,3,1,0
739,-1/2,-1,middle,1,2,1,2
740,-1/2,0,,0,1,0,2
741,-1/2,1,outer,1,2,1,0
742,-1/2,0,,0,1,0,0
743,-1/2,-1,outer,0,3,1,2
744,-1/2,-1,middle,0,3,1,1
745,-1/2,1,middle,1,2,1,2
746,-1/2,-1,middle,1,2,1,1
747,-1/2,0,,0,1,0,1
748,-1/2,0,,0,1,0,1
749,-1/2,0,,0,1,0,1
750,-1/2,-1,middle,1,2,-1,0
751,-1/2,-1,outer,0,3,1,2
752,-1/2,-1,middle,0,3,1,1
753,-1/2,1,outer,0,3,1,2
754,-1/2,-1,middle,1,2,-1,1
755,-1/2,-1,outer,1,2,1,0
756,-1/2,-1,middle,1,2,-1,2
757,-1/2,-1,middle,0,3,1,1
758,-1/2,-1,outer,0,3,1,0
759,-1/2,1,middle,1,2,1,1
760,-1/2,-1,middle,1,2,1,0
761,-1/2,-1,outer,1,2,1,2
762,-1/2,-1,middle,1,2,-1,1
763,-1/2,-1,middle,1,2,1,0
764,-1/2,-1,outer,0,3,1,2
765,-1/2,-1,outer,0,3,1,1
766,-1/2,-1,middle,0,3,1,0
767,-1/2,-1,middle,0,3,1,2
768,-1/2,-1,middle,1,2,-1,1
769,-1/2,-1,middle,0,3,1,0
770,-1/2,0,,0,1,0,0
771,-1/2,-1,outer,1,2,1,2
772,-1/2,0,,0,1,0,2
773,-1/2,-1,outer,0,3,1,1
774,-1/2,-1,outer,0,3,1,0
775,-1/2,0,,0,1,0,0
776,-1/2,0,,0,1,0,0
777,-1/2,-1,middle,1,2,1,2
778,-1/2,1,outer,0,3,1,0
779,-1/2,1,outer,1,2,1,1
780,-1/2,-1,middle,1,2,1,0
781,-1/2,-1,outer,0,3,1,2
782,-1/2,-1,middle,1,2,-1,1
783,-1/2,-1,outer,0,3,1,0
784,-1/2,0,,0,1,0,0
785,-1/2,1,middle,1,2,1,1
786,-1/2,0,,0,1,0,1
787,-1/2,-1,outer,1,2,1,0
788,-1/2,-1,outer,0,3,1,2
789,-1/2,-1,outer,1,2,1,1
790,-1/2,0,,0,1,0,1
791,-1/2,1,middle,0,3,1,2
