galaxy,R,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,U_obs,sigma_U,U_gas,U_disk,U_bulge,U_bar,lambda_ret,density_index,gas_star_index,bobbing_index,C_cap,D_BF,U_AO,V_disp,Delta_U,z_U
NGC3198,16.07,153.0,2.0,36.43,108.22,0.0,2.95,0.0,23409.0,612.0,1327.1449,11711.5684,0.0,7182.9291,1.0,0.0,0.0,0.0,2324.5255,2324.5255,25779.133100000003,160.55881508033124,2370.1331000000027,3.8727665032679783
NGC3198,18.13,153.0,2.0,37.76,101.1,0.0,2.39,0.0,23409.0,612.0,1425.8175999999999,10221.21,0.0,6536.4226,1.0,0.0,0.0,0.0,2517.5317999999997,2517.5317999999997,26676.676999999996,163.32996357068103,3267.676999999996,5.339341503267967
NGC3198,20.05,154.0,2.0,39.83,96.4,0.0,1.44,0.0,23716.0,616.0,1586.4288999999999,9292.960000000001,0.0,6232.9089,1.0,0.0,0.0,0.0,2731.4115000000006,2731.4115000000006,28084.200900000003,167.58341475217648,4368.2009000000035,7.091235227272733
NGC3198,22.12,153.0,2.0,40.92,91.56,0.0,0.72,0.0,23409.0,612.0,1674.4464,8383.2336,0.0,5866.0632,1.0,0.0,0.0,0.0,2930.4576000000006,2930.4576000000006,29309.724000000006,171.2008294372431,5900.724000000006,9.64170588235295
NGC3198,24.03,150.0,2.0,41.77,87.03,0.0,0.28,0.0,22500.0,600.0,1744.7329000000002,7574.2209,0.0,5531.84335,1.0,0.0,0.0,0.0,3095.0640000000003,3095.0640000000003,30292.35535,174.0469917867011,7792.355350000002,12.987258916666669
NGC3198,26.1,149.0,2.0,43.71,82.67,0.0,0.16,0.0,22201.0,596.0,1910.5641,6834.3289,0.0,5327.72855,1.0,0.0,0.0,0.0,3298.518,3298.518,31715.87255,178.08950713054378,9514.87255,15.964551258389262
NGC3198,28.16,148.0,2.0,45.41,79.06,0.0,0.08,0.0,21904.0,592.0,2062.0680999999995,6250.4836000000005,0.0,5187.3099,1.0,0.0,0.0,0.0,3505.0751999999998,3505.0751999999998,33227.9115,182.28524762031623,11323.911500000002,19.128228885135137
NGC3198,30.08,146.0,2.0,45.29,76.07,0.0,0.04,0.0,21316.0,584.0,2051.1841,5786.644899999999,0.0,4944.50655,1.0,0.0,0.0,0.0,3650.508799999999,3650.508799999999,34148.576949999995,184.7933357835179,12832.576949999995,21.97359066780821
NGC3198,32.14,147.0,2.0,44.56,73.27,0.0,0.02,0.0,21609.0,588.0,1985.5936000000002,5368.492899999999,0.0,4669.84005,1.0,0.0,0.0,0.0,3787.0562,3787.0562,34966.28965,186.9927529344386,13357.289649999999,22.71647899659864
NGC3198,34.06,148.0,2.0,44.81,70.91,0.0,0.01,0.0,21904.0,592.0,2007.9361000000001,5028.228099999999,0.0,4522.05015,1.0,0.0,0.0,0.0,3941.4232,3941.4232,36053.435750000004,189.8774229601824,14149.435750000004,23.901073902027033
NGC3198,36.12,148.0,2.0,45.9,68.62,0.0,0.01,0.0,21904.0,592.0,2106.81,4708.7044000000005,0.0,4461.162200000001,1.0,0.0,0.0,0.0,4136.4624,4136.4624,37552.8614,193.78560679266147,15648.861400000002,26.433887500000004
NGC3198,38.19,149.0,2.0,46.75,66.59,0.0,0.0,0.0,22201.0,596.0,2185.5625,4434.2281,0.0,4402.67655,1.0,0.0,0.0,0.0,4328.4546,4328.4546,39030.31335,197.56091048079324,16829.313349999997,28.237102936241605
NGC3198,40.1,150.0,2.0,47.48,64.84,0.0,0.0,0.0,22500.0,600.0,2254.3504,4204.225600000001,0.0,4356.4632,1.0,0.0,0.0,0.0,4504.032,4504.032,40388.7192,200.96944842438117,17888.7192,29.814532
NGC3198,42.17,150.0,3.0,48.93,63.1,0.0,0.0,0.0,22500.0,900.0,2394.1449,3981.61,0.0,4384.9499,1.0,0.0,0.0,0.0,4724.3051000000005,4724.3051000000005,42179.3907,205.3762174644377,19679.390700000004,21.86598966666667
NGC3198,44.08,149.0,3.0,47.84,61.63,0.0,0.0,0.0,22201.0,894.0,2288.6656000000003,3798.2569000000003,0.0,4187.79405,1.0,0.0,0.0,0.0,4825.4376,4825.4376,42791.294850000006,206.86056862050825,20590.294850000006,23.031649720357947
NGC6503,0.76,77.0,10.0,4.04,70.72,0.0,834.73,0.0,5929.0,1540.0,16.3216,5001.3184,0.0,2516.9808000000003,1.0,0.0,0.0,0.0,56.817600000000006,56.817600000000006,2971.5216000000005,54.51166480671821,-2957.4783999999995,-1.9204405194805192
NGC6503,1.52,100.0,5.0,7.62,123.17,0.0,563.29,0.0,10000.0,1000.0,58.0644,15170.8489,0.0,7643.488850000001,1.0,0.0,0.0,0.0,198.80079999999998,198.80079999999998,9233.895250000001,96.09315922582627,-766.1047499999986,-0.7661047499999986
NGC6503,2.28,110.0,2.0,9.72,142.64,0.0,225.6,0.0,12100.0,440.0,94.47840000000001,20346.169599999997,0.0,10267.563199999999,1.0,0.0,0.0,0.0,347.3807999999999,347.3807999999999,13046.609599999998,114.22175624634738,946.609599999998,2.15138545454545
NGC6503,3.04,118.0,2.0,12.42,134.42,0.0,66.48,0.0,13924.0,472.0,154.25639999999999,18068.736399999998,0.0,9188.6246,1.0,0.0,0.0,0.0,446.39359999999994,446.39359999999994,12759.773399999998,112.95916695868466,-1164.2266000000018,-2.4665817796610208
NGC6503,3.79,121.0,2.0,13.35,121.97,0.0,28.63,0.0,14641.0,484.0,178.2225,14876.6809,0.0,7616.56295,1.0,0.0,0.0,0.0,512.8628,512.8628,11719.465349999999,108.25647948275429,-2921.5346500000014,-6.036228615702482
NGC6503,4.55,121.0,2.0,14.78,111.53,0.0,14.64,0.0,14641.0,484.0,218.4484,12438.9409,0.0,6437.91885,1.0,0.0,0.0,0.0,574.7105,574.7105,11035.60285,105.05047762861433,-3605.3971500000007,-7.449167665289258
NGC6503,5.31,117.0,2.0,17.55,103.23,0.0,8.92,0.0,13689.0,468.0,308.0025,10656.432900000002,0.0,5636.21895,1.0,0.0,0.0,0.0,641.3417999999999,641.3417999999999,10766.95335,103.7639308719557,-2922.04665,-6.2436894230769235
NGC6503,6.07,116.0,2.0,19.2,96.65,0.0,6.87,0.0,13456.0,464.0,368.64,9341.222500000002,0.0,5039.251250000001,1.0,0.0,0.0,0.0,703.2095,703.2095,10664.92725,103.27113464080851,-2791.0727499999994,-6.015242995689654
NGC6503,6.83,116.0,2.0,20.33,91.96,0.0,5.31,0.0,13456.0,464.0,413.30889999999994,8456.641599999999,0.0,4641.6296999999995,1.0,0.0,0.0,0.0,766.9407,766.9407,10777.155299999999,103.81307865582255,-2678.8447000000015,-5.773372198275865
NGC6503,7.59,116.0,2.0,21.66,87.62,0.0,2.98,0.0,13456.0,464.0,469.1556,7677.264400000001,0.0,4307.7878,1.0,0.0,0.0,0.0,829.4352,829.4352,10943.269400000001,104.61008268804686,-2512.730599999999,-5.415367672413791
NGC6503,8.35,115.0,1.0,22.79,83.25,0.0,1.95,0.0,13225.0,230.0,519.3841,6930.5625,0.0,3984.66535,1.0,0.0,0.0,0.0,885.4339999999999,885.4339999999999,11068.137349999999,105.20521541254502,-2156.862650000001,-9.377663695652178
NGC6503,9.11,115.0,1.0,23.92,79.58,0.0,1.74,0.0,13225.0,230.0,572.1664000000001,6332.9764,0.0,3738.6546,1.0,0.0,0.0,0.0,942.885,942.885,11281.7346,106.21551016683016,-1943.2654000000002,-8.44898
NGC6503,9.86,116.0,1.0,24.84,76.81,0.0,1.53,0.0,13456.0,232.0,617.0255999999999,5899.7761,0.0,3566.91365,1.0,0.0,0.0,0.0,1002.269,1002.269,11585.06565,107.63394283403355,-1870.9343499999995,-8.06437219827586
NGC6503,10.64,117.0,1.0,25.46,74.18,0.0,0.83,0.0,13689.0,234.0,648.2116000000001,5502.672400000001,0.0,3399.5478000000007,1.0,0.0,0.0,0.0,1060.1696000000002,1060.1696000000002,11880.904600000002,108.99956238444264,-1808.0953999999983,-7.726903418803412
NGC6503,11.38,117.0,1.0,26.38,71.5,0.0,0.58,0.0,13689.0,234.0,695.9043999999999,5112.25,0.0,3252.0294,1.0,0.0,0.0,0.0,1113.8744,1113.8744,12163.024599999999,110.28610338569406,-1525.9754000000012,-6.521262393162398
NGC6503,12.12,118.0,1.0,27.2,69.18,0.0,0.42,0.0,13924.0,236.0,739.8399999999999,4785.872400000001,0.0,3132.7762000000002,1.0,0.0,0.0,0.0,1168.1256,1168.1256,12477.781,111.70398829048138,-1446.2189999999991,-6.128046610169488
NGC6503,12.86,117.0,1.0,28.13,67.04,0.0,0.3,0.0,13689.0,234.0,791.2968999999999,4494.361600000001,0.0,3038.4777000000004,1.0,0.0,0.0,0.0,1223.8862,1223.8862,12829.567299999999,113.26767985617079,-859.4327000000012,-3.6727893162393213
NGC6503,13.7,116.0,1.0,28.74,64.84,0.0,0.2,0.0,13456.0,232.0,825.9875999999999,4204.225600000001,0.0,2928.1004000000003,1.0,0.0,0.0,0.0,1282.0459999999998,1282.0459999999998,13184.468399999998,114.8236404230418,-271.5316000000021,-1.170394827586216
NGC6503,14.44,115.0,1.0,28.64,63.05,0.0,0.14,0.0,13225.0,230.0,820.2496,3975.3025,0.0,2807.90085,1.0,0.0,0.0,0.0,1324.0036,1324.0036,13399.92965,115.75806516178473,174.92965000000004,0.7605636956521741
NGC6503,15.18,117.0,1.0,28.33,61.39,0.0,0.1,0.0,13689.0,234.0,802.5888999999999,3768.7321,0.0,2686.95495,1.0,0.0,0.0,0.0,1361.9496,1361.9496,13582.551749999999,116.54420513264483,-106.44825000000128,-0.4549070512820568
NGC6503,15.91,116.0,1.0,28.13,59.88,0.0,0.07,0.0,13456.0,232.0,791.2968999999999,3585.6144000000004,0.0,2584.1041,1.0,0.0,0.0,0.0,1400.2391,1400.2391,13786.0169,117.4138701346651,330.01690000000053,1.4224866379310368
NGC6503,16.65,115.0,2.0,28.33,58.45,0.0,0.05,0.0,13225.0,460.0,802.5888999999999,3416.4025,0.0,2510.79015,1.0,0.0,0.0,0.0,1444.887,1444.887,14069.886149999998,118.61655091090788,844.8861499999985,1.836709021739127
NGC6503,17.49,115.0,2.0,28.23,56.93,0.0,0.03,0.0,13225.0,460.0,796.9329,3241.0249,0.0,2417.44535,1.0,0.0,0.0,0.0,1489.4483999999998,1489.4483999999998,14333.032549999998,119.72064379212132,1108.032549999998,2.408766413043474
NGC6503,18.23,115.0,2.0,27.82,55.71,0.0,0.02,0.0,13225.0,460.0,773.9524,3103.6041,0.0,2325.75445,1.0,0.0,0.0,0.0,1522.7519,1522.7519,14507.76965,120.448203182945,1282.7696500000002,2.788629673913044
NGC6503,18.97,114.0,2.0,27.2,54.55,0.0,0.02,0.0,12996.0,456.0,739.8399999999999,2975.7025,0.0,2227.69125,1.0,0.0,0.0,0.0,1550.7975,1550.7975,14634.071249999999,120.97136541347295,1638.071249999999,3.5922615131578928
NGC6503,19.71,115.0,2.0,26.9,53.46,0.0,0.01,0.0,13225.0,460.0,723.6099999999999,2857.9716000000003,0.0,2152.5958,1.0,0.0,0.0,0.0,1583.8956,1583.8956,14823.760600000001,121.75286690669752,1598.7606000000014,3.4755665217391334
NGC6503,20.45,114.0,2.0,26.69,52.44,0.0,0.01,0.0,12996.0,456.0,712.3561000000001,2749.9536,0.0,2087.3329,1.0,0.0,0.0,0.0,1618.2085,1618.2085,15033.0009,122.60913872954168,2037.000899999999,4.467107236842104
NGC6503,21.29,116.0,2.0,26.49,51.35,0.0,0.01,0.0,13456.0,464.0,701.7200999999999,2636.8225,0.0,2020.13135,1.0,0.0,0.0,0.0,1657.2136,1657.2136,15277.84015,123.6035604260654,1821.84015,3.9263796336206895
NGC6503,22.03,115.0,3.0,26.18,50.44,0.0,0.0,0.0,13225.0,690.0,685.3924,2544.1935999999996,0.0,1957.4891999999998,1.0,0.0,0.0,0.0,1687.9386000000002,1687.9386000000002,15460.998000000001,124.34226152036966,2235.9980000000014,3.240576811594205
NGC6503,22.76,118.0,4.0,25.87,49.61,0.0,0.0,0.0,13924.0,944.0,669.2569000000001,2461.1521,0.0,1899.83295,1.0,0.0,0.0,0.0,1717.9248000000002,1717.9248000000002,15643.231350000002,125.07290413994552,1719.2313500000018,1.8212196504237308
NGC6503,23.5,115.0,10.0,25.46,48.79,0.0,0.0,0.0,13225.0,2300.0,648.2116000000001,2380.4641,0.0,1838.4436500000002,1.0,0.0,0.0,0.0,1744.875,1744.875,15797.443650000001,125.6878818741091,2572.443650000001,1.1184537608695657
NGC2841,3.44,285.0,14.4,-0.57,163.4,239.5,560.42,13.23,81225.0,8208.0,0.32489999999999997,26699.56,57360.25,53502.279899999994,1.0,0.0,0.0,0.0,1387.9368000000002,1387.9368000000002,64605.7743,254.1766596286921,-16619.225700000003,-2.0247594663742694
NGC2841,3.77,297.0,13.6,-0.57,171.13,229.25,537.66,5.28,88209.0,8078.4,0.32489999999999997,29285.476899999998,52555.5625,51431.95709999999,1.0,0.0,0.0,0.0,1511.5815,1511.5815,63524.609099999994,252.0408877543483,-24684.390900000006,-3.0556039438502682
NGC2841,4.13,303.0,8.47,-0.43,180.88,219.24,507.23,1.94,91809.0,5132.820000000001,0.18489999999999998,32717.574399999998,48066.1776,50005.29642,1.0,0.0,0.0,0.0,1654.2715,1654.2715,63239.46842,251.47458802034052,-28569.531580000003,-5.566049769912056
NGC2841,4.47,306.0,5.93,-0.1,188.37,210.91,465.98,0.76,93636.0,3629.16,0.010000000000000002,35483.2569,44483.028099999996,48879.75812,1.0,0.0,0.0,0.0,1785.2286,1785.2286,63161.58692,251.3196906730549,-30474.41308,-8.397098248630536
NGC2841,4.8,307.0,5.93,-0.19,194.64,203.54,438.69,0.3,94249.0,3641.02,0.0361,37884.72959999999,41428.531599999995,47942.37301999999,1.0,0.0,0.0,0.0,1912.176,1912.176,63239.781019999995,251.47520955354625,-31009.218980000005,-8.516629675200907
NGC2841,5.13,304.0,8.47,-0.28,200.57,196.88,413.05,0.12,92416.0,5149.76,0.07840000000000001,40228.3249,38761.7344,47247.45492999999,1.0,0.0,0.0,0.0,2040.3549,2040.3549,63570.294129999995,252.13150166133545,-28845.705870000005,-5.601368970592805
NGC2841,5.48,308.0,8.47,-0.38,206.64,190.44,383.91,0.05,94864.0,5217.52,0.1444,42700.08959999999,36267.393599999996,46737.36472,1.0,0.0,0.0,0.0,2178.0808,2178.0808,64162.011119999996,253.3022130183627,-30701.988880000004,-5.884402720066238
NGC2841,5.83,313.0,12.7,-0.48,211.29,184.57,352.6,0.02,97969.0,7950.2,0.2304,44643.4641,34066.084899999994,46168.22188,1.0,0.0,0.0,0.0,2310.6621999999998,2310.6621999999998,64653.519479999995,254.2705635342007,-33315.480520000005,-4.190521058589722
NGC2841,6.16,314.0,9.32,-0.53,215.14,179.57,340.73,0.01,98596.0,5852.96,0.28090000000000004,46285.2196,32245.384899999997,45714.66013,1.0,0.0,0.0,0.0,2434.6784000000002,2434.6784000000002,65192.087329999995,255.3274120222895,-33403.912670000005,-5.707182804939723
NGC2841,6.51,315.0,6.78,3.83,221.84,174.68,329.32,0.0,99225.0,4271.400000000001,14.6689,49212.9856,30513.102400000003,45980.33338,1.0,0.0,0.0,0.0,2606.2785,2606.2785,66830.56138,258.51607567035364,-32394.43862,-7.584033014936554
NGC2841,6.86,317.0,8.47,8.02,227.72,170.15,300.88,0.0,100489.0,5369.9800000000005,64.32039999999999,51856.3984,28951.022500000003,46258.23535,1.0,0.0,0.0,0.0,2784.4054,2784.4054,68533.47855,261.7889962355179,-31955.52145,-5.950771036391196
NGC2841,7.18,320.0,7.63,12.15,231.73,166.32,276.7,0.0,102400.0,4883.2,147.6225,53698.79289999999,27662.342399999998,46360.65862999999,1.0,0.0,0.0,0.0,2945.236,2945.236,69922.54663,264.42871748355924,-32477.453370000003,-6.650854638351901
NGC2841,7.51,316.0,20.5,16.24,235.48,162.63,259.76,0.0,99856.0,12956.0,263.73759999999993,55450.83039999999,26448.5169,46503.11463,1.0,0.0,0.0,0.0,3111.7685,3111.7685,71397.26263,267.2026620937748,-28458.737370000003,-2.196568182309355
NGC2841,7.85,318.0,23.4,20.27,239.96,159.08,241.28,0.0,101124.0,14882.4,410.87289999999996,57580.801600000006,25306.446400000004,46915.78618,1.0,0.0,0.0,0.0,3291.5835,3291.5835,73248.45418,270.64451625702674,-27875.54582,-1.8730544683653174
NGC2841,8.21,321.0,8.48,24.66,243.42,155.54,214.54,0.0,103041.0,5444.16,608.1156,59253.29639999999,24192.6916,47169.647919999996,1.0,0.0,0.0,0.0,3477.9202000000005,3477.9202000000005,74993.00951999999,273.8485156432293,-28047.990480000008,-5.151940883442076
NGC2841,8.57,323.0,8.66,27.1,245.15,152.23,187.05,0.0,104329.0,5594.36,734.4100000000001,60098.52250000001,23173.972899999997,47005.45228,1.0,0.0,0.0,0.0,3637.7936000000004,3637.7936000000004,76107.80108,275.8764235667847,-28221.198919999995,-5.0445804202804245
NGC2841,8.9,321.0,12.7,29.42,245.8,149.38,167.67,0.0,103041.0,8153.4,865.5364000000001,60417.64000000001,22314.3844,46694.425480000005,1.0,0.0,0.0,0.0,3778.9400000000005,3778.9400000000005,76925.94548000001,277.3552694289402,-26115.05451999999,-3.2029649618564027
NGC2841,9.24,323.0,11.0,31.74,245.24,146.61,150.42,0.0,104329.0,7106.0,1007.4275999999999,60142.657600000006,21494.492100000003,46124.900870000005,1.0,0.0,0.0,0.0,3913.9716000000003,3913.9716000000003,77436.67367,278.27445745163175,-26892.326329999996,-3.784453466084998
NGC2841,9.6,323.0,10.4,34.31,244.14,143.83,136.11,0.0,104329.0,6718.400000000001,1177.1761000000001,59604.33959999999,20687.068900000002,45460.294129999995,1.0,0.0,0.0,0.0,4053.8879999999995,4053.8879999999995,77891.39812999999,279.09030461483246,-26437.601870000013,-3.935103874434391
NGC2841,9.93,322.0,13.6,36.63,243.64,141.42,126.37,0.0,103684.0,8758.4,1341.7569,59360.44959999999,19999.616399999995,45021.71317999999,1.0,0.0,0.0,0.0,4187.381699999999,4187.381699999999,78520.76677999998,280.21557197985976,-25163.233220000024,-2.8730399639203537
NGC2841,10.27,321.0,13.6,38.95,243.6,139.06,118.7,0.0,103041.0,8731.199999999999,1517.1025000000002,59340.96,19337.6836,44723.96102,1.0,0.0,0.0,0.0,4329.9347,4329.9347,79363.43862,281.715172860817,-23677.56138,-2.7118335830126448
NGC2841,10.6,323.0,9.32,41.02,243.38,136.88,108.16,0.0,104329.0,6020.72,1682.6404000000002,59233.8244,18736.1344,44414.846679999995,1.0,0.0,0.0,0.0,4465.567999999999,4465.567999999999,80139.39067999998,283.0890154703993,-24189.609320000018,-4.0177270027505045
NGC2841,10.93,322.0,11.9,43.22,243.08,134.8,97.33,0.0,103684.0,7663.6,1867.9684,59087.8864,18171.040000000005,44131.63960000001,1.0,0.0,0.0,0.0,4602.6230000000005,4602.6230000000005,80952.62360000002,284.5217453904007,-22731.37639999998,-2.96614859856986
NGC2841,11.27,321.0,11.0,45.42,242.44,132.75,86.07,0.0,103041.0,7062.0,2062.9764,58777.1536,17622.5625,43787.34695,1.0,0.0,0.0,0.0,4740.2747,4740.2747,81709.54454999999,285.8488141483186,-21331.45545000001,-3.02059692013594
NGC2841,12.31,323.0,4.24,52.25,237.3,127.02,60.76,0.0,104329.0,2739.04,2730.0625,56311.29000000001,16134.080399999999,42179.563780000004,1.0,0.0,0.0,0.0,5127.9767,5127.9767,83203.37738,288.44995645692165,-21125.622619999995,-7.712783537297738
NGC2841,14.35,319.0,4.24,56.77,222.06,117.64,30.36,0.0,101761.0,2705.1200000000003,3222.8329000000003,49310.6436,13839.1696,37565.57342,1.0,0.0,0.0,0.0,5689.344499999999,5689.344499999999,83080.32942,288.236585845725,-18680.670580000005,-6.905671681847757
NGC2841,16.4,308.0,4.24,51.89,207.98,110.04,19.68,0.0,94864.0,2611.84,2692.5721,43255.6804,12108.8016,32796.57342,1.0,0.0,0.0,0.0,6066.523999999999,6066.523999999999,81328.76542,285.18198649283585,-13535.234580000004,-5.18226023799314
NGC2841,18.48,299.0,5.66,48.35,196.87,103.67,11.59,0.0,89401.0,3384.6800000000003,2337.7225000000003,38757.7969,10747.4689,29239.84918,1.0,0.0,0.0,0.0,6447.4872,6447.4872,80819.74678,284.2881404139117,-8581.253219999999,-2.535321867946157
NGC2841,20.57,299.0,5.66,54.45,185.72,98.26,7.0,0.0,89401.0,3384.6800000000003,2964.8025000000002,34491.9184,9655.027600000001,26969.281020000002,1.0,0.0,0.0,0.0,6961.5051,6961.5051,82661.32182000001,287.5088204212177,-6739.678179999988,-1.9912305387806195
NGC2841,22.51,298.0,5.66,63.61,176.98,93.93,4.66,0.0,88804.0,3373.36,4046.2320999999997,31321.920399999995,8822.844900000002,25883.18373,1.0,0.0,0.0,0.0,7530.0452000000005,7530.0452000000005,86123.54533000001,293.4681334148565,-2680.454669999992,-0.7945949053762397
NGC2841,24.59,296.0,5.66,66.17,168.93,89.87,3.04,0.0,87616.0,3350.7200000000003,4378.4689,28537.344900000004,8076.616900000001,24300.773180000004,1.0,0.0,0.0,0.0,7991.0123,7991.0123,88228.87158,297.03345195448946,612.8715800000064,0.18290742885111447
NGC2841,26.68,293.0,4.24,61.9,161.21,86.28,1.15,0.0,85849.0,2484.6400000000003,3831.6099999999997,25988.6641,7444.2384,22036.90893,1.0,0.0,0.0,0.0,8254.5252,8254.5252,88073.11053,296.7711416731755,2224.1105300000054,0.8951439765921844
NGC2841,28.77,289.0,4.24,58.85,153.59,83.08,0.69,0.0,83521.0,2450.7200000000003,3463.3225,23589.8881,6902.2864,20089.86703,1.0,0.0,0.0,0.0,8502.1104,8502.1104,88106.75023,296.82781242666596,4585.750230000005,1.8711848885225586
NGC2841,30.7,289.0,4.24,57.01,147.56,80.43,0.41,0.0,83521.0,2450.7200000000003,3250.1400999999996,21773.9536,6468.984900000001,18665.40633,1.0,0.0,0.0,0.0,8749.5,8749.5,88661.40633,297.76065275653866,5140.406329999998,2.0975086219559955
NGC2841,32.79,288.0,4.24,57.38,141.95,77.82,0.23,0.0,82944.0,2442.2400000000002,3292.4644000000003,20149.802499999998,6055.952399999999,17606.53233,1.0,0.0,0.0,0.0,9087.7485,9087.7485,90308.52033,300.5137606333527,7364.520329999999,3.0154777294614776
NGC2841,34.88,285.0,4.24,60.43,136.82,75.46,0.13,0.0,81225.0,2416.8,3651.7849,18719.712399999997,5694.211599999999,16997.589219999998,1.0,0.0,0.0,0.0,9512.1248,9512.1248,93094.58761999999,305.1140567394429,11869.587619999991,4.911282530618997
NGC2841,36.96,283.0,2.83,64.09,132.38,73.3,0.07,0.0,80089.0,1601.78,4107.5281,17524.464399999997,5372.889999999999,16630.783299999996,1.0,0.0,0.0,0.0,9970.6992,9970.6992,96396.37689999999,310.4776592606946,16307.376899999988,10.180784439810704
NGC2841,38.9,275.0,2.83,66.9,128.66,71.45,0.04,0.0,75625.0,1556.5,4475.610000000001,16553.3956,5105.1025,16325.87955,1.0,0.0,0.0,0.0,10386.688999999998,10386.688999999998,99419.39154999999,315.30840703983773,23794.391549999986,15.287113106328292
NGC2841,40.99,272.0,2.83,68.61,124.87,69.61,0.02,0.0,73984.0,1539.52,4707.3321,15592.5169,4845.5521,15895.47702,1.0,0.0,0.0,0.0,10784.059100000002,10784.059100000002,102167.94982000002,319.63721594958247,28183.949820000023,18.306972186135955
NGC2841,43.08,271.0,2.83,68.98,121.52,67.9,0.01,0.0,73441.0,1533.8600000000001,4758.240400000001,14767.1104,4610.410000000001,15369.082600000002,1.0,0.0,0.0,0.0,11131.872,11131.872,104424.05859999999,323.1471160323112,30983.05859999999,20.19940450888607
NGC2841,45.16,274.0,4.24,67.76,118.47,66.31,0.01,0.0,75076.0,2323.52,4591.417600000001,14035.1409,4397.016100000001,14686.89932,1.0,0.0,0.0,0.0,11404.706400000001,11404.706400000001,105924.55052,325.46052067800787,30848.550520000004,13.276645141853741
NGC2841,47.1,277.0,4.24,65.19,115.75,64.93,0.0,0.0,76729.0,2348.96,4249.7361,13398.0625,4215.9049,13899.90078,1.0,0.0,0.0,0.0,11580.477,11580.477,106543.71678,326.4103502954525,29814.716780000002,12.692730731898372
NGC2841,49.19,281.0,4.24,62.26,113.11,63.54,0.0,0.0,78961.0,2382.88,3876.3075999999996,12793.8721,4037.3316,13099.37577,1.0,0.0,0.0,0.0,11751.982899999999,11751.982899999999,107115.23896999999,327.28464517908566,28154.23896999999,11.81521476952259
NGC2841,51.27,286.0,4.24,60.55,110.59,62.24,0.0,0.0,81796.0,2425.28,3666.3025,12230.1481,3873.8176000000003,12493.04887,1.0,0.0,0.0,0.0,11965.392600000001,11965.392600000001,108216.18967,328.9622921703945,26420.189670000007,10.89366574993403
NGC2841,53.36,282.0,4.24,60.55,108.3,61.01,0.0,0.0,79524.0,2391.36,3666.3025,11728.89,3722.2200999999995,12136.30157,1.0,0.0,0.0,0.0,12265.3296,12265.3296,110258.93836999999,332.0526138581053,30734.93836999999,12.852493296701454
NGC2841,55.3,283.0,4.24,62.39,106.31,59.93,0.0,0.0,80089.0,2399.84,3892.5121,11301.8161,3591.6049,12057.54358,1.0,0.0,0.0,0.0,12643.239,12643.239,113203.45558,336.4572121087613,33114.455579999994,13.798609732315484
NGC2841,57.38,288.0,5.66,64.95,104.23,58.83,0.0,0.0,82944.0,3260.16,4218.5025000000005,10863.8929,3460.9689,12073.127180000001,1.0,0.0,0.0,0.0,13083.2138,13083.2138,116738.83757999999,341.6706565978413,33794.83757999999,10.366005834069492
NGC2841,59.47,287.0,5.66,67.27,102.32,57.79,0.0,0.0,82369.0,3248.84,4525.2528999999995,10469.382399999999,3339.6841,12097.722969999999,1.0,0.0,0.0,0.0,13522.288599999998,13522.288599999998,120276.03176999999,346.80835020224066,37907.03176999999,11.66786661392989
NGC2841,61.56,289.0,7.07,68.49,100.51,56.8,0.0,0.0,83521.0,4086.46,4690.880099999999,10102.260100000001,3226.24,12000.37815,1.0,0.0,0.0,0.0,13900.248000000001,13900.248000000001,123202.36215000002,351.00194037925206,39681.362150000015,9.710449178506584
NGC2841,63.64,294.0,7.07,68.73,98.76,55.86,0.0,0.0,86436.0,4157.16,4723.812900000001,9753.537600000001,3120.3396,11784.819420000002,1.0,0.0,0.0,0.0,14213.994000000002,14213.994000000002,125496.77142000002,354.25523485193554,39060.77142000002,9.396023107121213
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,190.44000000000003,44.160000000000004,13.987600000000002,151.5361,0.0,89.75565,1.0,0.0,0.0,0.0,7.8645000000000005,7.8645000000000005,152.67165,12.35603698602428,-37.76835000000003,-0.855261548913044
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,466.56000000000006,34.56,55.6516,211.70250000000001,0.0,161.50285000000002,1.0,0.0,0.0,0.0,21.789900000000003,21.789900000000003,335.82205000000005,18.325448152773784,-130.73795,-3.7829267939814817
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,835.2099999999999,40.459999999999994,118.15689999999998,167.7025,0.0,202.00814999999997,1.0,0.0,0.0,0.0,35.2536,35.2536,484.03694999999993,22.000839756700195,-351.17305,-8.679511863568958
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,1176.4899999999998,34.3,177.4224,133.17159999999998,0.0,244.0082,1.0,0.0,0.0,0.0,48.974199999999996,48.974199999999996,635.8018,25.215110549033884,-540.6881999999998,-15.763504373177838
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,0.08,0.0,1459.2400000000002,30.560000000000002,218.1529,103.63239999999999,0.0,269.96909999999997,1.0,0.0,0.0,0.0,61.6265,61.6265,762.9811,27.622112518777413,-696.2589000000003,-22.783340968586394
